condition,seed,window_start,window_end,phase,optimizer_success,optimizer_cost,inverse_mass,state_rmse_to_true,state_minus_measurement_rms,measurement_minus_true_rms,measurement_cost,process_cost,arrival_cost,inverse_mass_prior_cost,total_cost,measurement_residual_rms,process_residual_rms_weighted,process_residual_rms_raw,state_bound_hit_count,parameter_bound_hit
initial_theta_offset,101,10,80,before,False,0.00039510879351696766,1.0526315789473684,0.023075097753687438,0.023075097753687438,0.0,0.0595926176440623,447.7313351404447,0.0,0.0,447.79092775808874,0.02048575899099319,1.788317915050031,0.05484570489447316,0,0
initial_theta_offset,101,10,80,after,False,0.00039510879351696766,0.833376628849451,0.001100283562265171,0.001100283562265171,0.0,0.00034144687810783045,6.448079415775844e-07,2.8980740896339536e-05,2.4036366571220123e-05,0.00039510879351696766,0.0015506629161853996,6.786583095541128e-05,2.737322873778468e-07,0,0
initial_theta_offset,102,0,70,before,False,0.0003570720459868896,1.0526315789473684,0.02370867213822388,0.02370867213822388,0.0,0.05151088856202343,415.61740508640804,3.851859888774471e-33,0.0,415.66891597497005,0.01904606878997022,1.7229903512838372,0.05280818826820204,0,0
initial_theta_offset,102,0,70,after,False,0.0003570720459868896,0.8333724875615569,0.0010632252885858745,0.0010632252885858745,0.0,0.00033241223164618024,6.04470630297265e-07,1.8069132745984137e-08,2.4037274577665804e-05,0.0003570720459868893,0.0015300101989123855,6.570880731885322e-05,2.667370652626881e-07,0,0
initial_theta_offset,102,10,80,before,False,0.00039510879351696766,1.0526315789473684,0.023075097753687438,0.023075097753687438,0.0,0.0595926176440623,447.7313351404447,0.0,0.0,447.79092775808874,0.02048575899099319,1.788317915050031,0.05484570489447316,0,0
initial_theta_offset,102,10,80,after,False,0.00039510879351696766,0.833376628849451,0.001100283562265171,0.001100283562265171,0.0,0.00034144687810783045,6.448079415775844e-07,2.8980740896339536e-05,2.4036366571220123e-05,0.00039510879351696766,0.0015506629161853996,6.786583095541128e-05,2.737322873778468e-07,0,0
initial_theta_offset,103,0,70,before,False,0.0003570720459868896,1.0526315789473684,0.02370867213822388,0.02370867213822388,0.0,0.05151088856202343,415.61740508640804,3.851859888774471e-33,0.0,415.66891597497005,0.01904606878997022,1.7229903512838372,0.05280818826820204,0,0
initial_theta_offset,103,0,70,after,False,0.0003570720459868896,0.8333724875615569,0.0010632252885858745,0.0010632252885858745,0.0,0.00033241223164618024,6.04470630297265e-07,1.8069132745984137e-08,2.4037274577665804e-05,0.0003570720459868893,0.0015300101989123855,6.570880731885322e-05,2.667370652626881e-07,0,0
initial_theta_offset,103,10,80,before,False,0.00039510879351696766,1.0526315789473684,0.023075097753687438,0.023075097753687438,0.0,0.0595926176440623,447.7313351404447,0.0,0.0,447.79092775808874,0.02048575899099319,1.788317915050031,0.05484570489447316,0,0
initial_theta_offset,103,10,80,after,False,0.00039510879351696766,0.833376628849451,0.001100283562265171,0.001100283562265171,0.0,0.00034144687810783045,6.448079415775844e-07,2.8980740896339536e-05,2.4036366571220123e-05,0.00039510879351696766,0.0015506629161853996,6.786583095541128e-05,2.737322873778468e-07,0,0
noise,101,0,70,before,False,0.005411455213316517,1.0526315789473684,0.021589269004959614,0.018637488428237675,0.018935336018308165,0.007378655520823799,468.4779597988014,0.0,0.0,468.48533845432223,0.007208492409838746,1.8292815916145908,0.05622289378109631,0,0
noise,101,0,70,after,False,0.005411455213316517,0.832969617064954,0.0018695089139791547,0.018906857194469284,0.018935336018308165,0.005381666594858192,2.136883888959672e-06,3.5260458203514483e-06,2.4125688749015632e-05,0.005411455213316519,0.006156221286403727,0.0001235453615062579,2.526105953141085e-06,0,0
noise,101,10,80,before,False,0.005529193367402404,1.0526315789473684,0.018321669416389425,0.01661080507519677,0.01965165537313668,0.007577967142197658,509.4127566509649,0.0,0.0,509.4203346181071,0.007305201283340818,1.9075278628389394,0.05895593930068809,0,0
noise,101,10,80,after,False,0.005529193367402404,0.833632803134411,0.0028175375570532878,0.019414012939334837,0.01965165537313668,0.005492478449017475,1.8309161988081696e-06,1.0903770282331575e-05,2.398023190378697e-05,0.005529193367402402,0.00621927855119114,0.00011435896488089502,2.529855786562939e-06,0,0
noise,102,0,70,before,False,0.005770418037060114,1.0526315789473684,0.018878391979915428,0.018201463689866634,0.018590299813261088,0.005313299552431925,489.00647488065476,9.629649721936176e-36,0.0,489.0117881802072,0.006116992928058278,1.8689310827327679,0.05755804896819997,0,0
noise,102,0,70,after,False,0.005770418037060114,0.8329763726756072,0.0020257435964196034,0.018596214837810474,0.018590299813261088,0.005738834332059207,3.331983753821914e-06,4.127516425941015e-06,2.4124204821144967e-05,0.005770418037060115,0.006357226304144528,0.00015427211010377349,3.1879292208750237e-06,0,0
noise,102,10,80,before,False,0.005314972595741805,1.0526315789473684,0.014725538487368184,0.014744207257316278,0.017421394619514755,0.004542980925622479,506.701469804557,0.0,0.0,506.70601278548264,0.00565621988786474,1.9024447989073674,0.05895448855783468,0,0
noise,102,10,80,after,False,0.005314972595741805,0.8332812136759308,0.0022435628826990087,0.0174675168550145,0.017421394619514755,0.005283030208375358,2.517757295464551e-06,5.367338698622471e-06,2.405729137235654e-05,0.005314972595741802,0.006099544088466811,0.00013410436488753695,2.4267760896216953e-06,0,0
