method,input_source,condition,seed,planning_time_type,available,step,timestamp,mean_relative_error,max_relative_std,m_hat,k_hat,b_r_hat,m_relative_error,k_relative_error,b_r_relative_error,m_std,k_std,b_r_std
windowed_nls_cauchy,true_state_diagnostic,initial_theta_offset,103.0,fixed_2s_diagnostic,True,200.0,2.0,2.3610203520510156e-07,1.3850077227845708e-06,1.199999761580108,449.9999143742067,17.999994251820212,1.9868324337609286e-07,1.9027954067496467e-07,3.1934332156424716e-07,1.4522800031741052e-08,1.9436876947080225e-05,2.4930131048848876e-05
windowed_nls_cauchy,true_state_diagnostic,initial_theta_offset,103.0,t0_nominal,True,0.0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_current,true_state_diagnostic,noise,101,first_confidence_threshold,True,10,0.1,0.143962135289071,0.03264606532454463,1.1992141098586884,383.60596232835525,12.893594553375628,0.0006549084510929875,0.14754230593698833,0.28368919147913174,0.0029503811629423794,9.202491734252686,0.4209251300576936
windowed_nls_current,true_state_diagnostic,noise,101,first_valid_window,True,10,0.1,0.143962135289071,0.03264606532454463,1.1992141098586884,383.60596232835525,12.893594553375628,0.0006549084510929875,0.14754230593698833,0.28368919147913174,0.0029503811629423794,9.202491734252686,0.4209251300576936
windowed_nls_current,true_state_diagnostic,noise,101,fixed_2s_diagnostic,True,200,2.0,0.003774137286994162,0.0001461273726882322,1.2000136173816336,450.12632185950736,17.801453721607114,1.1347818028029089e-05,0.00028071524334968167,0.011030348799604775,9.85274001168484e-06,0.005445148801391345,0.002601279662369601
windowed_nls_current,true_state_diagnostic,noise,101,t0_nominal,True,0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_huber,true_state_diagnostic,noise,101.0,first_confidence_threshold,True,30.0,0.3,0.0309064049230397,0.1634445665933266,1.1687500274512304,438.75000332620107,17.249803589339358,0.026041643790641333,0.024999992608442073,0.04167757837003568,0.0029070500245142452,32.96911440072422,2.819386671479581
windowed_nls_huber,true_state_diagnostic,noise,101.0,first_valid_window,True,10.0,0.1,0.12361639644856931,0.5878322690942271,1.075000077797542,405.00144274040713,14.999655715197843,0.1041666018353817,0.09999679391020638,0.16668579360011984,0.019163765144582512,158.02091322949914,8.81728165469694
windowed_nls_huber,true_state_diagnostic,noise,101.0,fixed_2s_diagnostic,True,200.0,2.0,2.3588749198306586e-07,1.1200969988353509e-06,1.1999997615816307,449.9999141692018,17.9999942715829,1.9868197439117571e-07,1.9073510707635757e-07,3.1824539448166433e-07,1.4446986018467936e-08,1.51733806667922e-05,2.0161739562653514e-05
windowed_nls_huber,true_state_diagnostic,noise,101.0,t0_nominal,True,0.0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_cauchy,true_state_diagnostic,noise,101.0,first_confidence_threshold,True,30.0,0.3,0.030906404894554023,0.14932567437788277,1.1687500274509857,438.75000330440014,17.24980359175329,0.026041643790845247,0.02499999265688858,0.04167757823592824,0.002902798710988974,30.066157884124756,2.575838554224585
windowed_nls_cauchy,true_state_diagnostic,noise,101.0,first_valid_window,True,10.0,0.1,0.12361639636362483,0.5229500764121322,1.0750000777965352,405.0014426559901,14.999655723176627,0.10416660183622066,0.09999679409779977,0.16668579315685406,0.019213841757784254,140.49139828864344,7.844071106590894
windowed_nls_cauchy,true_state_diagnostic,noise,101.0,fixed_2s_diagnostic,True,200.0,2.0,2.3588730564948355e-07,1.1200959613590845e-06,1.1999997615818576,449.9999141692855,17.99999427158621,1.986817852831872e-07,1.9073492113521854e-07,3.1824521053004497e-07,1.444697227203726e-08,1.5173366432376001e-05,2.016172088809037e-05
windowed_nls_cauchy,true_state_diagnostic,noise,101.0,t0_nominal,True,0.0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
